id,name,seg_words
90,武警北京市总队医院,武警 北京市 总队
91,煤炭总医院,煤炭 总医院
92,北京华信医院,北京 华信
93,北京中医药大学第三附属医院,北京 中医药 大学 第三
94,北京市惠新医院,北京市 惠新
95,北京万杰医院,北京 万杰
96,北京市垂杨柳医院,北京市 垂杨柳
97,北京市朝阳区第二医院,北京市 朝阳区 第二
98,北京市朝阳区中医院,北京市 朝阳区 中医院
99,首都国际机场医院,首都 国际 机场
101,航空工业中心医院,航空 工业 中心
102,北京市朝阳区第三医院,北京市 朝阳区 第三
103,北京朝阳三环肿瘤医院,北京 朝阳 三环 肿瘤
104,北京市朝阳区平房医院,北京市 朝阳区 平房
105,北京市朝阳区金盏医院,北京市 朝阳区 金盏
106,北京城建水碓子医院,北京 城建 水碓子
107,北京市朝阳区管庄医院,北京市 朝阳区 管庄
108,北京化工实验厂医院,北京 化工 实验厂
109,北京市朝阳区豆各庄医院,北京市 朝阳区 豆各庄
110,北京市朝阳区劲松医院,北京市 朝阳区 劲松
111,北京市城建青年沟医院,北京市 城建 青年沟
112,北京市朝阳区亚运村医院,北京市 朝阳区 亚运村
113,北京市朝阳区安华医院,北京市 朝阳区 安华
114,北京第七建设工程公司职工医院,北京 第七 建设 工程 公司 职工
115,建筑材料科学院管庄东里医院,建筑 材料 科学院 管庄 东里
116,北京市朝阳区南磨房医院,北京市 朝阳区 南磨房
117,北京市朝阳区楼梓庄医院,北京市 朝阳区 楼梓庄
118,北京市朝阳区高碑店医院,北京市 朝阳区 高碑店
119,北京市朝阳区太阳宫医院,北京市 朝阳区 太阳宫
120,北京市朝阳区十八里店医院,北京市 朝阳区 十八里店
121,北京市朝阳区小红门医院,北京市 朝阳区 小红门
123,北京市朝阳区团结湖医院,北京市 朝阳区 团结湖
124,北京起重机器厂朝阳广仁医院,北京 起重 机器厂 朝阳 广仁
125,北京朝阳光华医院,北京 朝阳 光华
126,中电一局建设发展公司医院,中电一局 建设 发展 公司
127,北京市朝阳区新源里医院,北京市 朝阳区 新源里
128,北京青年沟医院,北京 青年沟
129,北京市城建祁家豁子医院,北京市 城建 祁家 豁子
130,北京市朝阳区三间房医院,北京市 朝阳区 三间 房医院
132,罗有明中医骨伤科医院,罗有明 中医 骨伤科
133,北京化学工业有限公司化工二厂医院,北京 化学 工业 化工 二厂
134,北京市朝阳区大柳树医院,北京市 朝阳区 大柳树
135,北京市朝阳区来广营医院,北京市 朝阳区 来广营
136,北京市朝阳区三里屯医院,北京市 朝阳区 三里屯
137,北京市朝阳区安苑中医院,北京市 朝阳区 安苑 中医院
138,北京市朝阳区康欣医院,北京市 朝阳区 康欣
139,中国舰船研究院北京舰船医院,舰船 研究院 北京 舰船
140,北京市朝阳区化工路医院,北京市 朝阳区 化工路
141,北京市朝阳区左家庄医院,北京市 朝阳区 左家庄
142,北京市朝阳区常营回民医院,北京市 朝阳区 常营 回民
143,北京市朝阳区石佛营医院,北京市 朝阳区 石佛营
144,北京市朝阳区洼里医院,北京市 朝阳区 洼里
145,北京市朝阳区将台医院,北京市 朝阳区 将台
146,北京民族医院,北京 民族
147,北京东大肛肠医院,北京 东大肛肠
148,北京糖尿病医院,北京 糖尿病
149,中国水利水电第二工程局医院,水利 水电 第二 工程局
150,曹开镛中医男科医院,曹开镛 中医 男科
151,北京金台中医院,北京 金台 中医院
152,北京英智眼科医院,北京 英智 眼科
153,北京市朝阳区曙光医院,北京市 朝阳区 曙光
154,北京恒安中医院,北京 恒安 中医院
156,北京华德眼科医院,北京 华德 眼科
157,成武县胜雷医院,成武县 胜雷
158,福建省立医院北院,福建省 立医院
160,铁道部第十六工程局中心医院,铁道部 第十六 工程局 中心
161,北内(集团)职工医院,北内 ( 集团 ) 职工
163,北京市朝阳区慈济医院,北京市 朝阳区 慈济
164,北京爱康医院,北京 爱康
165,北京世纪康乐医院,北京 世纪 康乐
166,北京工业大学医院,北京 工业 大学
167,北京五洲女子医院,北京 五洲 女子
168,北京七星华电科技公司医院,北京 七星 华电 科技 公司
169,北京新景安太妇产医院,北京 新景 安太 妇产
170,中国中医药研究院附属济华医院,中医药 研究院 济华
171,北京市安定门中医院,北京市 安定门 中医院
172,中国中医科学院骨伤科医院,中医 科学院 骨伤科
173,北京和睦家医院,北京 和睦家
174,北京东方博大医院,北京 东方 博大
175,北京同仁福康眼科医院,北京 同仁 福康 眼科
176,北京建国医院,北京 建国
177,北京同仁长虹医院,北京 同仁 长虹
178,人民日报社医院,人民日报社
179,北京黄寺美容外科医院,北京 黄寺 美容 外科
180,总装备部后勤部中医骨伤科医院,总装备部 后勤部 中医 骨伤科
181,中国人民解放军第二一一医院,人民 解放军 第二 一一
184,临沂市高新开发区医院,临沂市 高新 开发区
185,北京中医药大学东方医院,北京 中医药 大学 东方
187,中国人民解放军三零七医院,人民 解放军 三零七
188,北京电力医院,北京 电力
191,武警北京总队第三医院,武警 北京 总队 第三
192,航天海鹰中心医院,航天 海鹰 中心
193,北京市丰台区丰台医院,北京市 丰台区 丰台
194,北京市北方车辆制造厂职工医院,北京市 北方 车辆 制造厂 职工
195,北京市丰台区长辛店医院,北京市 丰台区 长辛店
196,北京市丰台区铁营医院,北京市 丰台区 铁营
197,北京市丰台区三路居医院,北京市 丰台区 三路居
198,北京市丰台区蒲黄榆医院,北京市 丰台区 蒲黄榆
199,北京市丰台区卢沟桥国医院,北京市 丰台区 卢沟 桥国
200,中国兵器工业(集团)第二零一所医院,兵器 工业 ( 集团 ) 第二 零
201,北京丰台医星医院,北京 丰台 医星
202,湖南省核工业二四零医院,湖南省 核工业 二四零
203,北京市丰台区和平医院,北京市 丰台区 和平
204,北京市统计学会国泰医院,北京市 统计 学会 国泰
205,北京市丰台区花乡医院,北京市 丰台区 花乡
206,北京市城建第二医院,北京市 城建 第二
207,北京市丰台区卢沟桥医院,北京市 丰台区 卢沟桥
208,北京市三环英和医院,北京市 三环英
209,北京市丰台区右外医院,北京市 丰台区 右外
210,北京市丰台区兴海医院,北京市 丰台区 兴海
211,北京市丰台区西罗园第一医院,北京市 丰台区 西罗园 第一
212,北京东管头投资管理公司丽泽医院,北京 东管头 投资 管理 公司 丽泽
213,北京市丰台区永南医院,北京市 丰台区 永南
214,北京市丰台区燕竹医院,北京市 丰台区 燕竹
215,北京市丰台区华西医院,北京市 丰台区 华西
216,北京市丰台区华兴医院,北京市 丰台区 华兴
217,北京市丰台区兴隆中医院,北京市 丰台区 兴隆 中医院
218,北京市丰台区晓园中医院,北京市 丰台区 晓园 中医院
219,北京市二七车辆厂医院,北京市 二七 车辆厂
220,北京市丰台区洋桥医院,北京市 丰台区 洋桥
222,北京市丰台区丰北医院,北京市 丰台区 丰北
223,北京市丰台区兴隆骨伤医院,北京市 丰台区 兴隆 骨伤
224,北京京仁医院,北京 京仁
225,北京市红十字会长峰医院,北京市 红十字会 长峰
226,北京市丰台区华丰医院,北京市 丰台区 华丰
227,北京市丰台长城医院,北京市 丰台 长城
228,北京市丰台区华山医院,北京市 丰台区 华山
229,北京市丰台区京材医院,北京市 丰台区 京材
231,中国医学科学院整形外科医院,医学 科学院 整形 外科
232,中国中医科学院眼科医院,中医 科学院 眼科
233,北京大学首钢医院,北京大学 首钢
234,北京市石景山医院,北京市 石景山
235,清华大学玉泉医院,清华大学 玉泉
236,中国瑞达系统装备公司瑞达医院,瑞达 系统 装备 公司 瑞达
237,北京首钢特殊钢有限公司泰康医院,北京 首钢 特殊钢 泰康
238,北京市石景山区八角医院,北京市 石景山区 八角
239,北京市八大处风湿病医院,北京市 八大处 风湿病
240,北京市机械工业管理局职工医院,北京市 机械 工业 管理局 职工
243,北京大学口腔医院,北京大学 口腔
244,中国中医科学院西苑医院,中医 科学院 西苑
245,北京市海淀区青龙桥医院,北京市 海淀区 青龙桥
246,北京大学第六医院,北京大学 第六
247,武警总医院,武警 总医院
248,北京大学第三医院,北京大学 第三
249,中国人民解放军三零二医院,人民 解放军 三零二
250,中国人民解放军总医院,人民 解放军 总医院
251,中国人民解放军第四六六医院,人民 解放军 第四六六
252,中国人民解放军海军总医院,人民 解放军 海军 总医院
253,北京大学肿瘤医院,北京大学 肿瘤
254,中国人民解放军空军总医院,人民 解放军 空军 总医院
255,中国人民解放军二六一医院,人民 解放军 二六
256,莆田东方医院,莆田 东方
257,北京老年医院,北京 老年
258,北京市化工职业病防治院,北京市 化工 职业病 防治院
259,北京道培医院,北京 道培
260,北京市中关村医院,北京市 中关村
261,中国人民解放军三一六医院,人民 解放军 三一六
262,中国人民解放军六六四零零部队医院,人民 解放军 六六四零零 部队
263,中国人民解放军五一一一二医院,人民 解放军 五一一一二
264,北京市中西医结合医院,北京市 中西医 结合
265,清华大学校医院,清华大学校
267,北京市海淀区北蜂窝医院,北京市 海淀区 北蜂窝
268,北京市清河医院,北京市 清河
269,北京长青肛肠医院,北京 长青肛肠
270,北京京民医院,北京 京民
271,北京市海淀区甘家口医院,北京市 海淀区 甘家口
272,城建公司第四医院,城建 公司 第四
274,北京市海淀区北太平庄医院,北京市 海淀区 北太平庄
275,中国人民大学医院,人民 大学
276,北京市海淀区万寿路医院,北京市 海淀区 万寿路
277,北京市海淀区玉渊潭医院,北京市 海淀区 玉渊潭
278,中共中央党校医院,中共中央 党校
279,北京航空航天大学校医院,北京 航空 航天 大学校
280,北京市海淀区新兴医院,北京市 海淀区 新兴
281,北京青云航空仪表有限公司职工医院,北京 青云 航空 仪表 职工
282,北京市海淀区四季青医院,北京市 海淀区 四季青
283,北京市海淀区北下关医院,北京市 海淀区 北下 关医院
284,北京市海淀区志新村医院,北京市 海淀区 志新村
285,北京市海淀区八里庄医院,北京市 海淀区 八里庄
286,北京邮电大学医院,北京 邮电 大学
288,北京市海淀区中医院,北京市 海淀区 中医院
289,北京外国语学院医院,北京 外国 语学院
290,北京康乐医院,北京 康乐
291,北京军区炮兵海淀区香山骨科医院,北京 军区 炮兵 海淀区 香山 骨科
292,北京体育大学校医院,北京 体育 大学校
293,北京水建二医院,北京 水建二
294,北京京北医院,北京 京北
295,北京市海淀区蓝天医院,北京市 海淀区 蓝天
296,北京交通大学校医院,北京 交通 大学校
297,第四城建公司职工医院,第四 城建 公司 职工
299,北京师范大学医院,北京 师范大学
300,中央民族大学医院,中央 民族 大学
301,北京理工大学医院,北京 理工大学
302,北京语言大学医院,北京 语言 大学
303,新兴建设开发北京中兴医院,新兴 建设 开发 北京 中兴
304,北京市海淀区颐园医院,北京市 海淀区 颐园
306,北京潘中恒中医骨伤病医院,北京 潘中恒 中医 骨伤病
307,北京科技大学医院,北京 科技 大学
308,北京因苏林糖尿病医院,北京 因苏林 糖尿病
309,北京中仁中医院,北京 中仁 中医院
310,北京市海淀区红十字医院,北京市 海淀区 红十字
311,北京林业大学校医院,北京 林业 大学校
312,北京市海淀区北方肿瘤医院,北京市 海淀区 北方 肿瘤
313,首都师范大学校医院,首都 师范大学校
314,北京天昱医院,北京 天昱
315,北京核工业二院,北京 核工业 二院
316,北京市海淀区万泉医院,北京市 海淀区 万泉
317,北京京煤(集团)总医院,北京 京煤 ( 集团 ) 总医院
319,北京市门头沟区中医院,北京市 门头沟区 中医院
320,北京市门头沟区医院,北京市 门头沟区
321,北京市门头沟区龙泉医院,北京市 门头沟区 龙泉
322,煤炭科学研究总院石龙医院,煤炭 科学 研究 总院 石龙
323,北京京煤(集团)木城涧煤矿医院,北京 京煤 ( 集团 ) 木城涧 煤矿
324,北京京煤(集团)总医院大台医院,北京 京煤 ( 集团 ) 总医院 大台
325,门头沟医院,门头沟
326,北京京煤(集团)杨坨煤矿职工医院,北京 京煤 ( 集团 ) 杨坨 煤矿 职工
327,中铁三局第四公司三家店医院,中铁三局 第四 公司 三家店
328,北京市门头沟区中医骨伤科医院,北京市 门头沟区 中医 骨伤科
329,北京京煤(集团)木城涧煤矿王平医院,北京 京煤 ( 集团 ) 木城涧 煤矿 王平
330,北京京煤(集团)木城涧煤矿职工医院,北京 京煤 ( 集团 ) 木城涧 煤矿 职工
332,北京市安康医院,北京市 安康
333,北京北亚骨科医院,北京 北亚 骨科
335,北京市房山区中医院,北京市 房山区 中医院
336,北京市房山区第一医院,北京市 房山区 第一
338,中国核工业北京四零一医院,核工业 北京 四零一
339,北京市电力设备总厂职工医院,北京市 电力 设备 总厂 职工
340,北京煤矿机械厂职工医院,北京 煤矿 机械厂 职工
341,铁道建筑总公司房山桥梁厂医院,铁道 建筑 总公司 房山 桥梁厂
342,北京市琉璃河水泥厂职工医院,北京市 琉璃河 水泥厂 职工
343,北京矿务局长沟峪煤矿职工医院,北京 矿务 局长 沟峪 煤矿 职工
344,北京矿务局房山煤矿职工医院,北京 矿务局 房山 煤矿 职工
346,北京市房山区卫生学校附属医院,北京市 房山区 卫生 学校
347,北京矿务局大安山煤矿职工医院,北京 矿务局 大安山 煤矿 职工
348,北京房山区鹏园医院,北京 房山区 鹏园
349,中国人民解放军第一零二医院,人民 解放军 第一 零二
350,京东中美医院,京东 中美
351,北京市通州区中医院,北京市 通州区 中医院
352,中国人民解放军第二六三医院,人民 解放军 第二 六 三
353,北京市通州区中西医结合骨伤医院,北京市 通州区 中西医 结合 骨伤
355,北京市通州区潞河医院,北京市 通州区 潞河
356,核工业北京化工冶金研究院职工医院,核工业 北京 化工 冶金 研究院 职工
357,四川省二零一医院,四川省 二零一
358,北京北方红旗机电有限公司医院,北京 北方 红旗 机电
359,北京市通州区东辰医院,北京市 通州区 东辰
360,中国人民解放军六六零五五医院,人民 解放军 六六零五五
362,北京市顺义区医院,北京市 顺义区
363,北京市顺义区中医院,北京市 顺义区 中医院
364,北京市潮白河骨伤科医院,北京市 潮白河 骨伤科
365,中国人民解放军五一一一六医院,人民 解放军 五一一一六
366,北京市顺义区传染病医院,北京市 顺义区 传染病
368,铁道部第十六工程局第一处职工医院,铁道部 第十六 工程局 第一 处 职工
369,北京医学高等专科学校医院,北京 医学 高等 专科学校
370,北京市顺义区副食品公司医院,北京市 顺义区 副食品 公司
371,北京回龙观医院,北京 回龙观
372,北京小汤山医院,北京 小汤山
373,北京市昌平区中医院,北京 市昌 平区 中医院
374,北京股骨头坏死专科医院,北京 股骨头 坏死
376,北京市昌平区医院,北京 市昌 平区
377,北京民康医院,北京 民康
378,北京南口铁路医院,北京 南口 铁路
380,铁道部南口机车车辆厂医院,铁道部 南口 机车 车辆厂
381,北京市昌平区兴寿医院,北京 市昌 平区 兴寿
382,北京市昌平区东关医院,北京 市昌 平区 东关
383,北京二毛医院,北京 二毛
384,北京骨髓炎医院,北京 骨髓炎
385,昌平机车车辆厂职工医院,昌平 机车 车辆厂 职工
386,北京首钢第一线材厂职工医院,北京 首钢 第一 线材厂 职工
387,北京龙禧医院,北京 龙禧
388,北京首钢红冶钢厂职工医院,北京 首钢 红冶 钢厂 职工
389,北京太申祥和医院,北京 太申 祥和
390,北京安达心脑病医院,北京 安达 心脑病
391,北京长城老年病医院,北京 长城 老年病
392,昌平南口农场职工医院,昌平 南口 农场 职工
393,北京和义哮喘医院,北京 和义 哮喘
394,中国政法大学校医院,政法 大学校
395,北京中汇医院,北京 中汇
396,北京保温瓶工业公司职工医院,北京 保温 瓶工业 公司 职工
397,北京针刀总医院,北京 针刀 总医院
398,天通苑医院,天通苑
399,北京北郊肿瘤医院,北京 北郊 肿瘤
400,北京市大兴区人民医院,北京市 大兴区 人民
404,北京市天堂河医院,北京市 天堂河
405,建筑第一工程局第二建筑公司医院,建筑 第一 工程局 第二 建筑 公司
406,北京大兴兴和骨伤医院,北京 大兴兴 骨伤
407,北京市团河农场医院,北京市 团河 农场
408,北京市怀柔区中医院,北京市 怀柔区 中医院
410,北京市怀柔区第一医院,北京市 怀柔区 第一
411,北京市怀柔区精康医院,北京市 怀柔区 精康
412,北京市怀柔安佳医院,北京市 怀柔 安佳
413,北京市怀柔区肛肠医院,北京市 怀柔区 肛肠
414,北京仁和通医院,北京仁 通医院
415,北京康益德医院,北京 康益德
416,北京市平谷区中医院,北京市 平谷区 中医院
417,北京市平谷区医院,北京市 平谷区
418,北京市平谷区第二医院,北京市 平谷区 第二
419,北京市平谷区岳协医院,北京市 平谷区 岳协
420,北京市平谷区结核病医院,北京市 平谷区 结核病
421,北京市平谷区粮食局职工医院,北京市 平谷区 粮食局 职工
423,密云县医院,密云县
424,密云县中医院,密云县 中医院
425,北京市密云水库医院,北京市 密云 水库
426,密云县滨河医院,密云县 滨河
427,密云县第二医院,密云县 第二
428,延庆县中医院,延庆县 中医院
431,延庆县第二医院,延庆县 第二
432,北京市监狱管理局中心医院,北京市 监狱 管理局 中心
433,北京大学医院,北京大学
434,北京兆维电子公司医院,北京 兆维 电子 公司
435,北京市第六医院,北京市 第六
436,北京市和平里医院,北京市 和平里
437,北京市隆福医院,北京市 隆福
438,北京航星机器制造公司航星医院,北京 航星 机器 制造 公司 航星
439,北京积水潭医院,北京 积水潭
440,首都医科大学附属复兴医院,首都 医科 大学 复兴
441,首都医科大学附属北京儿童医院,首都 医科 大学 北京 儿童
442,北京市崇文区口腔医院,北京市 崇文区 口腔
443,北京市回民医院,北京市 回民
444,北京市宣武区广外医院,北京市 宣武区 广外
446,北京市宣武区精神病医院,北京市 宣武区 精神病
448,北京市第五建筑工程公司职工医院,北京市 第五 建筑 工程 公司 职工
449,北京北亚医院,北京 北亚
450,北京惠兰医院,北京 惠兰
451,北京朝阳凌和望京医院,北京 朝阳凌 望京
452,对外经济贸易大学医院,对外 经济 贸易 大学
453,北京市朝阳区双桥医院,北京市 朝阳区 双桥
454,北京市朝阳区东坝医院,北京市 朝阳区 东坝
455,北京炼焦化学厂医院,北京 炼焦 化学厂
456,北京市朝阳区双龙医院,北京市 朝阳区 双龙
457,首都医科大学附属北京世纪坛医院,首都 医科 大学 北京 世纪 坛医院
459,泸州南城七七一零五部队医院,泸州 南城 七七一零五 部队
460,中国航空工业总第624研究所医院,航空 工业 总第624 研究所
461,北京市海淀医院,北京市 海淀
462,北京水利医院,北京 水利
463,北京香山医院,北京 香山
464,北京丰台医院,北京 丰台
465,北京航天总医院,北京 航天 总医院
466,北京市丰台区南苑医院,北京市 丰台区 南苑
467,北京市丰台区方庄医院,北京市 丰台区 方庄
468,北京市丰台区大红门医院,北京市 丰台区 大红门
469,首医大附属丰台同仁京苑医院,首医大 丰台 同仁 京苑
470,北京市红十字会和平医院,北京市 红十字会 和平
473,北京市石景山区五里坨医院,北京市 石景山区 五里坨
474,北京市石景山区杨庄医院,北京市 石景山区 杨庄
475,首钢矿山医院,首钢 矿山
476,北方工业大学医院,北方 工业 大学
477,北京市昌平区南口医院,北京 市昌 平区 南口
478,北京市平板玻璃工业公司职工医院,北京市 平板 玻璃 工业 公司 职工
479,北京广慈医院,北京 广慈
481,北京市通州区新华医院,北京市 通州区 新华
482,北京市顺义区第二医院,北京市 顺义区 第二
483,北京市顺义区第三医院,北京市 顺义区 第三
484,北京市顺义区空港医院,北京市 顺义区 空港
486,北京市仁和医院,北京 市仁
487,北京市大兴区红星医院,北京市 大兴区 红星
488,北京燕化医院,北京 燕化
489,北京市房山区燕山医院,北京市 房山区 燕山
490,北京市亚新特种建材公司职工医院,北京市 亚新 特种 建材 公司 职工
493,北京市房山区老年病医院,北京市 房山区 老年病
496,保定脑血管病医院,保定 脑血管病
498,北京市怀柔区雁栖医院,北京市 怀柔区 雁栖
500,北京市怀柔区第二医院,北京市 怀柔区 第二
501,中煤北京煤矿机械公司医院,中煤 北京 煤矿 机械 公司
502,中国人民解放军第五七零一厂医院,人民 解放军 第五七零一厂
504,北京京顺医院,北京 京顺
505,北京市通州区老年病医院,北京市 通州区 老年病
506,北京京通医院,北京 京通
508,北京市昌平区益明医院,北京 市昌 平区 益明
509,北京皇城股骨头坏死专科医院,北京 皇城 股骨头 坏死
510,北京太阳城医院,北京 太阳城
511,北京汇海医院,北京 汇海
512,北京市昌平区南口铁路医院,北京 市昌 平区 南口 铁路
513,北京市昌平区华一医院,北京 市昌 平区 华一
514,北京市昌平区沙河医院,北京 市昌 平区 沙河
515,北京汉章针刀医院,北京 汉章 针刀
517,北京玉泉山医院,北京 玉泉山
519,北京市平谷区精神病医院,北京市 平谷区 精神病
520,国家安监局石龙医院,国家 安监局 石龙
521,北京市羊坊店医院,北京市 羊坊店
522,北京丰台医星中西医结合医院,北京 丰台 医星 中西医 结合
523,首都医科大学校医院,首都 医科 大学校
524,中国北方车辆研究所职工医院,北方 车辆 研究所 职工
525,北京丰台广济医院,北京 丰台 广济
526,北京丰台华山医院,北京 丰台 华山
527,北京丰台右安门医院,北京 丰台 右安门
529,山西省荣军精神康宁医院,山西省 荣军 精神 康宁
530,辽宁省军区医院,辽宁省 军区
531,河南省医药科学研究院附属医院,河南省 医药 科学 研究院
532,广东省中医院大学城医院,广东省 中医院 大学 城医院
533,航天中心医院,航天 中心
534,北京健恒糖尿病医院,北京 健恒 糖尿病
535,民航总医院,民航 总医院
538,北京京城皮肤病医院,北京 京城 皮肤病
539,北京垡头大柳树医院,北京 垡头 大柳树
540,北京爱尔英智眼科医院,北京 爱尔英 智眼科
542,泉州市中医院,泉州市 中医院
543,北京五洲妇儿医院,北京 五洲 妇儿
544,北京市朝阳区大屯医院,北京市 朝阳区 大屯
545,北京市丰盛中医骨伤专科医院,北京市 丰盛 中医 骨伤
546,北京市西城区展览路医院,北京市 西城区 展览路
548,北京朝阳中西医结合医院,北京 朝阳 中西医 结合
549,中日友好医院,中日 友好
550,中国人民解放军第二五四医院,人民 解放军 第二 五四
551,天津市公安局安康医院,天津市 公安局 安康
552,天津市中医医院,天津市 中医
553,天津市第三医院,天津市 第三
554,天津市第四中心医院,天津市 第四 中心
555,天津市第二医院,天津市 第二
556,天津市河北医院,天津市 河北
557,天津市第一医院,天津市 第一
559,天津市河北区建昌医院,天津市 河北区 建昌
560,天津市江都路医院,天津市 江都路
561,天津市河北区津鸿医院,天津市 河北区 津鸿
562,天津市河北区北宁医院,天津市 河北区 北宁
563,天津市河北区光复道医院,天津市 河北区 光复道
564,天津市河北区中山门医院,天津市 河北区 中山门
565,天津市天穆镇北辰医院,天津市 天穆镇 北辰
566,天津市河北区新开河医院,天津市 河北区 新开河
567,天津市金钟医院,天津市 金钟
568,天津市河北区小关医院,天津市 河北区 小关
569,天津永安医院,天津 永安
570,天津市河北区中山医院,天津市 河北区 中山
571,天津市河北区王串场医院,天津市 河北区 王串场
572,中辰医院,中辰
573,天津市京津医院,天津市 京津
574,天津市河北区妇产科医院,天津市 河北区 妇产科
575,天津铁建昆仑医院,天津 铁建 昆仑
576,天津天伟医院,天津 天伟
577,天津市河北区昆纬路医院,天津市 河北区 昆纬路
578,天津市人民医院,天津市 人民
579,天津市长征医院,天津市 长征
580,天津市民族医院,天津市 民族
581,天津市红桥区中医院,天津市 红桥区 中医院
583,天津市红桥医院,天津市 红桥
584,天津市红桥区河北街医院,天津市 红桥区 河北街
585,天津市红桥区大胡同医院,天津市 红桥区 大胡同
586,天津市红桥区西北角医院,天津市 红桥区 西北角
587,天津市红桥区西沽地段医院,天津市 红桥区 西沽
588,天津市红桥区咸阳医院,天津市 红桥区 咸阳
589,天津市邵公庄地段医院,天津市 邵公庄
590,天津市红桥区三条石地段医院,天津市 红桥区 三条石
591,天津市红桥区天福慈济医院,天津市 红桥区 天福慈济
592,天津市红桥区口腔医院,天津市 红桥区 口腔
593,天津市红桥区大丰桥医院,天津市 红桥区 大丰桥
594,天津市新生医院,天津市 新生
595,天津市红桥区新村医院,天津市 红桥区 新村
596,天津市红桥区文昌宫医院,天津市 红桥区 文昌宫
597,天津市红桥区丁字沽医院,天津市 红桥区 丁字沽
598,天津市天华医院,天津市 天华
599,天津市红十字会医院,天津市 红十字会
